iter	Passed	Remaining
407	4591	6661
408	4605	6654
409	4615	6641
410	4626	6630
411	4637	6618
412	4649	6608
413	4683	6628
414	4707	6635
415	4730	6640
416	4749	6639
417	4765	6635
418	4779	6628
419	4797	6625
420	4819	6627
421	4832	6619
422	4847	6612
423	4861	6604
424	4874	6594
425	4888	6586
426	4912	6591
427	4928	6586
428	4941	6576
429	4954	6567
430	4969	6560
431	4984	6553
432	4997	6544
433	5014	6539
434	5032	6535
435	5045	6526
436	5056	6513
437	5065	6499
438	5078	6490
439	5097	6487
440	5109	6476
441	5120	6464
442	5134	6455
443	5149	6448
444	5159	6434
445	5168	6420
446	5176	6404
447	5187	6392
448	5212	6397
449	5238	6402
450	5246	6387
451	5256	6372
452	5265	6357
453	5273	6341
454	5281	6326
455	5289	6310
456	5298	6295
457	5306	6279
458	5314	6264
459	5323	6249
460	5333	6235
461	5340	6219
462	5350	6205
463	5358	6190
464	5367	6175
465	5375	6159
466	5384	6145
467	5400	6138
468	5414	6130
469	5427	6120
470	5439	6109
471	5506	6159
472	5771	6430
473	5793	6429
474	5821	6434
475	5861	6452
476	5872	6438
477	5881	6423
478	5891	6407
479	5900	6391
480	5908	6374
481	5915	6357
482	5923	6340
483	5931	6323
484	5938	6305
485	5947	6290
486	5954	6272
487	5962	6255
488	5969	6237
489	5977	6221
490	5985	6204
491	5994	6189
492	6003	6173
493	6011	6157
494	6020	6141
495	6028	6125
496	6037	6110
497	6049	6098
498	6062	6086
499	6077	6077
500	6092	6068
501	6107	6059
502	6117	6044
503	6135	6038
504	6145	6023
505	6157	6011
506	6173	6003
507	6187	5992
508	6199	5980
509	6210	5966
510	6221	5953
511	6231	5939
512	6242	5926
513	6250	5910
514	6259	5894
515	6267	5879
516	6276	5863
517	6286	5849
518	6295	5834
519	6302	5817
520	6311	5802
521	6320	5787
522	6330	5773
523	6339	5759
524	6349	5745
525	6359	5730
526	6367	5715
527	6378	5701
528	6387	5687
529	6396	5672
530	6406	5658
531	6414	5643
532	6425	5629
533	6435	5615
534	6446	5602
535	6455	5588
536	6466	5575
537	6475	5560
538	6484	5545
539	6493	5531
540	6502	5517
541	6511	5502
542	6520	5488
543	6529	5472
544	6537	5458
545	6547	5444
546	6557	5430
547	6567	5416
548	6576	5402
549	6585	5388
550	6596	5375
551	6607	5362
552	6621	5352
553	6633	5340
554	6643	5326
555	6652	5312
556	6661	5298
557	6672	5285
558	6682	5272
559	6697	5261
560	6706	5248
561	6716	5234
562	6727	5221
563	6736	5207
564	6746	5194
565	6756	5180
566	6767	5167
567	6788	5163
568	6798	5149
569	6809	5136
570	6817	5121
571	6825	5107
572	6833	5091
573	6840	5076
574	6848	5062
575	6856	5046
576	6863	5031
577	6871	5016
578	6879	5002
579	6887	4987
580	6895	4972
581	6903	4958
582	6911	4943
583	6919	4928
584	6927	4914
585	6935	4899
586	6944	4885
587	6952	4871
588	6960	4856
589	6968	4842
590	6976	4828
591	6984	4813
592	6991	4798
593	6999	4784
594	7007	4769
595	7015	4755
596	7022	4740
597	7030	4726
598	7038	4712
599	7046	4697
600	7054	4683
601	7062	4668
602	7069	4654
603	7077	4640
604	7085	4625
605	7098	4615
606	7124	4612
607	7144	4606
608	7158	4596
609	7185	4594
610	7214	4593
611	7235	4587
612	7247	4575
613	7260	4564
614	7270	4551
615	7283	4540
616	7295	4528
617	7307	4516
618	7318	4504
619	7334	4495
620	7352	4487
621	7368	4477
622	7380	4466
623	7390	4453
624	7406	4444
625	7420	4433
626	7437	4424
627	7446	4411
628	7455	4397
629	7464	4384
630	7473	4370
631	7489	4360
632	7501	4349
633	7512	4336
634	7522	4324
635	7534	4311
636	7549	4302
637	7562	4291
638	7575	4279
639	7586	4267
640	7597	4255
641	7607	4242
642	7617	4229
643	7627	4216
644	7639	4204
645	7653	4194
646	7666	4182
647	7715	4191
648	7731	4181
649	7743	4169
650	7754	4156
651	7765	4144
652	7776	4132
653	7786	4119
654	7799	4108
655	7813	4097
656	7826	4086
657	7841	4075
658	7855	4065
659	7871	4054
660	7888	4045
661	7905	4036
662	7917	4024
663	7929	4012
664	7943	4001
665	7956	3990
666	7968	3978
667	7980	3966
668	7993	3954
669	8006	3943
670	8018	3931
671	8030	3919
672	8042	3907
673	8053	3895
674	8066	3883
675	8078	3871
676	8088	3859
677	8098	3846
678	8107	3832
679	8118	3820
680	8130	3808
681	8156	3803
682	8170	3792
683	8184	3781
684	8196	3769
685	8205	3755
686	8214	3742
687	8226	3730
688	8238	3718
689	8249	3706
690	8259	3693
691	8268	3680
692	8278	3667
693	8288	3654
694	8298	3641
695	8308	3628
696	8318	3616
697	8328	3603
698	8339	3591
699	8353	3580
700	8363	3567
701	8372	3554
702	8382	3541
703	8392	3528
704	8401	3515
705	8409	3502
706	8418	3488
707	8427	3475
708	8435	3462
709	8442	3448
710	8451	3435
711	8459	3421
712	8470	3409
713	8482	3397
714	8490	3384
715	8500	3371
716	8507	3357
717	8517	3345
718	8527	3332
719	8544	3322
720	8556	3311
721	8569	3299
722	8581	3287
723	8591	3275
724	8600	3262
725	8608	3249
726	8618	3236
727	8628	3223
728	8639	3211
729	8648	3198
730	8656	3185
731	8665	3172
732	8673	3159
733	8680	3145
734	8688	3132
735	8696	3119
736	8703	3105
737	8712	3092
738	8719	3079
739	8727	3066
740	8734	3052
741	8741	3039
742	8751	3027
743	8759	3013
744	8767	3000
745	8775	2987
746	8784	2975
747	8794	2962
748	8803	2950
749	8814	2938
750	8825	2926
751	8834	2913
752	8861	2906
753	8874	2895
754	8887	2884
755	8899	2872
756	8910	2860
757	8918	2847
758	8926	2834
759	8934	2821
760	8947	2809
761	8970	2801
762	8990	2792
763	9008	2782
764	9023	2771
765	9035	2760
766	9051	2749
767	9061	2737
768	9073	2725
769	9089	2715
770	9097	2702
771	9105	2689
772	9112	2676
773	9121	2663
774	9130	2650
775	9138	2637
776	9146	2625
777	9154	2612
778	9161	2599
779	9169	2586
780	9178	2573
781	9188	2561
782	9195	2548
783	9204	2535
784	9212	2523
785	9221	2510
786	9228	2497
787	9236	2485
788	9244	2472
789	9252	2459
790	9259	2446
791	9268	2434
792	9277	2421
793	9286	2409
794	9294	2396
795	9304	2384
796	9313	2372
797	9326	2360
798	9335	2348
799	9343	2335
800	9352	2323
801	9360	2310
802	9368	2298
803	9376	2285
804	9384	2273
805	9393	2260
806	9400	2248
807	9410	2236
808	9421	2224
809	9431	2212
810	9442	2200
811	9451	2188
812	9461	2176
813	9474	2164
814	9487	2153
815	9499	2142
816	9513	2130
817	9525	2119
818	9536	2107
819	9549	2096
820	9560	2084
821	9571	2072
822	9584	2061
823	9597	2049
824	9610	2038
825	9622	2026
826	9633	2015
827	9645	2003
828	9658	1992
829	9670	1980
830	9682	1969
831	9693	1957
832	9705	1945
833	9719	1934
834	9731	1923
835	9744	1911
836	9756	1900
837	9768	1888
838	9783	1877
839	9796	1865
840	9808	1854
841	9820	1842
842	9833	1831
843	9850	1820
844	9862	1809
845	9873	1797
846	9881	1784
847	9890	1772
848	9898	1760
849	9907	1748
850	9916	1736
851	9926	1724
852	9937	1712
853	9948	1700
854	9960	1689
855	9974	1677
856	9985	1666
857	9998	1654
858	10012	1643
859	10036	1633
860	10052	1622
861	10062	1610
862	10072	1599
863	10082	1587
864	10092	1575
865	10104	1563
866	10114	1551
867	10125	1539
868	10136	1528
869	10146	1516
870	10156	1504
871	10168	1492
872	10176	1480
873	10190	1469
874	10200	1457
875	10208	1445
876	10218	1433
877	10233	1421
878	10243	1410
879	10255	1398
880	10264	1386
881	10275	1374
882	10285	1362
883	10294	1350
884	10305	1339
885	10315	1327
886	10325	1315
887	10333	1303
888	10341	1291
889	10349	1279
890	10356	1267
891	10364	1254
892	10373	1242
893	10381	1230
894	10389	1218
895	10396	1206
896	10404	1194
897	10412	1182
898	10419	1170
899	10427	1158
900	10435	1146
901	10443	1134
902	10450	1122
903	10458	1110
904	10467	1098
905	10477	1087
906	10488	1075
907	10499	1063
908	10507	1051
909	10525	1040
910	10536	1029
911	10546	1017
912	10555	1005
913	10564	994
914	10575	982
915	10584	970
916	10592	958
917	10599	946
918	10608	935
919	10616	923
920	10625	911
921	10638	900
922	10670	890
923	10690	879
924	10703	867
925	10713	856
926	10722	844
927	10736	833
928	10745	821
929	10754	809
930	10763	797
931	10770	785
932	10778	774
933	10786	762
934	10795	750
935	10803	738
936	10811	726
937	10818	715
938	10826	703
939	10834	691
940	10843	679
941	10851	668
942	10860	656
943	10868	644
944	10876	633
945	10884	621
946	10893	609
947	10901	597
948	10909	586
949	10917	574
950	10926	562
951	10937	551
952	10947	539
953	10956	528
954	10966	516
955	10976	505
956	10986	493
957	10995	482
958	11003	470
959	11012	458
960	11022	447
961	11032	435
962	11041	424
963	11049	412
964	11058	401
965	11067	389
966	11075	377
967	11082	366
968	11091	354
969	11099	343
970	11107	331
971	11114	320
972	11122	308
973	11130	297
974	11138	285
975	11149	274
976	11159	262
977	11168	251
978	11179	239
979	11188	228
980	11198	216
981	11211	205
982	11223	194
983	11242	182
984	11260	171
985	11271	160
986	11281	148
987	11291	137
988	11302	125
989	11311	114
990	11322	102
991	11332	91
992	11344	79
993	11354	68
994	11363	57
995	11374	45
996	11386	34
997	11399	22
998	11410	11
999	11456	0
