iter	RMSE
229	1773.170837
230	1772.173823
231	1771.640079
232	1770.790995
233	1770.39486
234	1769.847729
235	1768.665168
236	1768.10245
237	1767.317945
238	1766.45718
239	1765.872286
240	1765.492655
241	1764.961589
242	1764.270407
243	1763.775793
244	1763.295179
245	1762.851685
246	1762.232457
247	1761.708107
248	1761.049447
249	1760.577061
250	1760.170023
251	1759.421264
252	1758.693389
253	1758.131494
254	1757.711581
255	1757.100019
256	1756.748607
257	1756.152178
258	1755.678768
259	1755.011588
260	1754.599413
261	1754.269052
262	1753.797613
263	1753.415046
264	1752.878689
265	1752.391007
266	1751.894834
267	1751.360577
268	1750.979694
269	1750.672105
270	1750.191872
271	1749.931889
272	1749.583492
273	1749.21343
274	1748.718505
275	1748.347867
276	1748.0924
277	1747.598261
278	1747.110365
279	1746.413296
280	1745.80303
281	1745.547531
282	1744.757946
283	1744.409442
284	1743.930388
285	1743.477547
286	1743.017554
287	1742.535289
288	1742.128145
289	1741.643496
290	1741.276569
291	1740.656626
292	1740.317688
293	1739.765501
294	1739.382843
295	1739.146242
296	1738.555533
297	1738.259542
298	1737.786824
299	1737.374144
300	1736.890604
301	1736.370104
302	1735.768059
303	1735.326066
304	1734.944761
305	1734.482983
306	1734.061306
307	1733.354523
308	1732.824394
309	1732.437569
310	1731.981412
311	1731.330337
312	1730.820255
313	1730.49696
314	1729.897973
315	1729.510788
316	1729.278835
317	1728.779839
318	1728.239544
319	1727.899591
320	1727.590252
321	1727.359948
322	1726.994047
323	1726.570574
324	1726.302454
325	1725.958197
326	1725.653362
327	1725.226296
328	1724.426002
329	1723.930995
330	1723.597079
331	1723.216914
332	1722.573498
333	1722.076219
334	1721.470812
335	1721.149388
336	1720.846003
337	1720.344046
338	1720.047628
339	1719.478118
340	1718.810975
341	1718.239182
342	1717.848382
343	1717.418627
344	1716.965345
345	1716.712218
346	1716.311738
347	1715.832807
348	1715.506466
349	1715.280024
350	1714.923375
351	1714.408885
352	1713.983586
353	1713.682594
354	1713.394903
355	1712.849893
356	1712.539286
357	1712.080039
358	1711.776223
359	1711.522876
360	1711.265416
361	1710.876098
362	1710.652947
363	1710.130108
364	1709.764909
365	1709.522633
366	1708.792751
367	1708.43054
368	1708.099803
369	1707.935443
370	1707.484456
371	1706.972939
372	1706.627691
373	1706.228678
374	1705.969755
375	1705.723398
376	1705.41749
377	1705.090182
378	1704.646907
379	1704.255333
380	1703.828551
381	1703.506533
382	1703.186721
383	1702.795617
384	1702.624447
385	1702.407117
386	1701.826134
387	1701.519584
388	1701.123091
389	1700.817105
390	1700.27963
391	1699.976804
392	1699.693257
393	1699.331049
394	1699.151297
395	1698.829698
396	1698.556626
397	1698.305116
398	1697.981067
399	1697.677784
400	1697.382505
401	1697.173158
402	1696.789401
403	1696.650977
404	1696.362287
405	1696.132408
406	1695.853899
407	1695.601522
408	1695.344466
409	1695.199164
410	1694.654616
411	1694.322828
412	1693.981856
413	1693.767366
414	1693.63044
415	1693.156516
416	1692.884854
417	1692.218169
418	1691.78907
419	1691.494577
420	1691.273431
421	1691.018167
422	1690.619646
423	1690.184802
424	1689.680198
425	1689.436582
426	1689.146848
427	1688.884436
428	1688.618262
429	1688.221947
430	1688.009852
431	1687.590048
432	1687.338172
433	1687.104326
434	1686.733661
435	1686.449383
436	1686.184322
437	1685.821272
438	1685.670716
439	1685.424856
440	1685.196634
441	1684.994723
442	1684.75925
443	1684.561996
444	1684.270136
445	1683.976236
446	1683.702762
447	1683.405531
448	1683.219968
449	1682.855276
450	1682.516265
451	1682.250145
452	1681.936577
453	1681.673281
454	1681.447136
455	1681.172223
456	1680.864122
457	1680.546287
458	1680.200938
459	1679.894644
460	1679.619095
461	1679.370335
462	1678.974816
463	1678.702345
464	1678.341033
465	1678.084957
466	1677.780699
467	1677.54497
468	1677.143049
469	1676.856098
470	1676.460559
471	1676.232867
472	1675.904176
473	1675.562567
474	1675.392558
475	1675.178464
476	1674.84388
477	1674.721658
478	1674.538479
479	1674.220774
480	1673.996588
481	1673.800301
482	1673.510521
483	1673.386729
484	1673.14304
485	1672.849853
486	1672.667894
487	1672.550466
488	1672.351881
489	1672.090234
490	1671.861628
491	1671.348332
492	1670.874546
493	1670.647465
494	1670.456116
495	1670.053918
496	1669.809577
497	1669.49878
498	1669.313632
499	1669.015607
500	1668.839427
501	1668.440121
502	1668.20088
503	1667.815077
504	1667.61138
505	1667.307288
506	1666.959665
507	1666.668905
508	1666.358907
509	1666.111103
510	1665.688629
511	1665.430437
512	1665.217451
513	1664.994715
514	1664.652052
515	1664.394347
516	1664.19325
517	1663.847483
518	1663.499001
519	1663.221607
520	1663.025588
521	1662.825548
522	1662.603597
523	1662.415095
524	1662.191172
525	1661.921456
526	1661.794325
527	1661.480581
528	1661.261077
529	1660.974204
530	1660.765
531	1660.533442
532	1660.33896
533	1660.170339
534	1659.850757
535	1659.653031
536	1659.449824
537	1659.255433
538	1658.950855
539	1658.739191
540	1658.493644
541	1658.143248
542	1657.887831
543	1657.796374
544	1657.64703
545	1657.355477
546	1657.226395
547	1657.095309
548	1656.882862
549	1656.758405
550	1656.507707
551	1656.041039
552	1655.744612
553	1655.552895
554	1655.315879
555	1655.161053
556	1654.828445
557	1654.662782
558	1654.49046
559	1654.188343
560	1654.050163
561	1653.774599
562	1653.532119
563	1653.391175
564	1653.241761
565	1652.922874
566	1652.792213
567	1652.630079
568	1652.405486
569	1652.242401
570	1652.026479
571	1651.621016
572	1651.37005
573	1651.204705
574	1650.933822
575	1650.72643
576	1650.511762
577	1650.123481
578	1649.823948
579	1649.638907
580	1649.455358
581	1649.175622
582	1648.982902
583	1648.804147
584	1648.668238
585	1648.326644
586	1648.120354
587	1647.86061
588	1647.694953
589	1647.454597
590	1647.08664
591	1646.934963
592	1646.740763
593	1646.573309
594	1646.421393
595	1646.221122
596	1646.021355
597	1645.843895
598	1645.620039
599	1645.31745
600	1645.126113
601	1644.999853
602	1644.761179
603	1644.558892
604	1644.31444
605	1644.171599
606	1644.063451
607	1643.803879
608	1643.713518
609	1643.454802
610	1643.255617
611	1642.963121
612	1642.810719
613	1642.570221
614	1642.430344
615	1642.29616
616	1642.062759
617	1641.883669
618	1641.746545
619	1641.430202
620	1641.248101
621	1641.047086
622	1640.881756
623	1640.723961
624	1640.512321
625	1640.316874
626	1640.112821
627	1640.005515
628	1639.877746
629	1639.666867
630	1639.560797
631	1639.420957
632	1639.315011
633	1639.152355
634	1639.000727
635	1638.88986
636	1638.80517
637	1638.616478
638	1638.310748
639	1638.042987
640	1637.936392
641	1637.834655
642	1637.515804
643	1637.274133
644	1637.079824
645	1636.899242
646	1636.751235
647	1636.556641
648	1636.227243
649	1636.058876
650	1635.824166
651	1635.536875
652	1635.38387
653	1635.248539
654	1634.870813
655	1634.607845
656	1634.292567
657	1634.125055
658	1633.976086
659	1633.736126
660	1633.613349
661	1633.408576
662	1633.211766
663	1632.857701
664	1632.700719
665	1632.518829
666	1632.362171
667	1632.102807
668	1631.932918
669	1631.747767
670	1631.487362
671	1631.429218
672	1631.289353
673	1631.106365
674	1630.950507
675	1630.656263
676	1630.420037
677	1630.228469
678	1630.089728
679	1629.953952
680	1629.784766
681	1629.592268
682	1629.531424
683	1629.314696
684	1629.210659
685	1629.077414
686	1628.8106
687	1628.580555
688	1628.470602
689	1628.392279
690	1628.22745
691	1628.151976
692	1628.077266
693	1627.882344
694	1627.768921
695	1627.593853
696	1627.36931
697	1627.166136
698	1626.96054
699	1626.86326
700	1626.739485
701	1626.517543
702	1626.314179
703	1625.953031
704	1625.78296
705	1625.549131
706	1625.283963
707	1625.117333
708	1625.052975
709	1624.891679
710	1624.639927
711	1624.451709
712	1624.209782
713	1624.045395
714	1623.823265
715	1623.63599
716	1623.525667
717	1623.325062
718	1623.198565
719	1623.105425
720	1622.921937
721	1622.670288
722	1622.47097
723	1622.234611
724	1622.044917
725	1621.986307
726	1621.862643
727	1621.684929
728	1621.456723
729	1621.124751
730	1620.949062
731	1620.789364
732	1620.539662
733	1620.42749
734	1620.345696
735	1620.199404
736	1620.071319
737	1619.930603
738	1619.85674
739	1619.654479
740	1619.503935
741	1619.410373
742	1619.220995
743	1619.101645
744	1619.051523
745	1618.818008
746	1618.631361
747	1618.528139
748	1618.398817
749	1618.267373
750	1618.145234
751	1617.924299
752	1617.728362
753	1617.602047
754	1617.424799
755	1617.275442
756	1617.106706
757	1616.874637
758	1616.711974
759	1616.491621
760	1616.319053
761	1616.063804
762	1615.952477
763	1615.870899
764	1615.627758
765	1615.565785
766	1615.420175
767	1615.328006
768	1615.143719
769	1614.812759
770	1614.690318
771	1614.579454
772	1614.460283
773	1614.367587
774	1614.085983
775	1613.965975
776	1613.781363
777	1613.600425
778	1613.373776
779	1613.234201
780	1613.088561
781	1612.989568
782	1612.873712
783	1612.628955
784	1612.380295
785	1612.240834
786	1612.108706
787	1611.959726
788	1611.881842
789	1611.788105
790	1611.718746
791	1611.60405
792	1611.469729
793	1611.300161
794	1611.203387
795	1611.08627
796	1610.964865
797	1610.892437
798	1610.643848
799	1610.52711
800	1610.425273
801	1610.179966
802	1609.930827
803	1609.789315
804	1609.62266
805	1609.444298
806	1609.270716
807	1609.054021
808	1608.938268
809	1608.827374
810	1608.54694
811	1608.468169
812	1608.385519
813	1608.158021
814	1608.069079
815	1607.921705
816	1607.599008
817	1607.43717
818	1607.279126
819	1607.094664
820	1606.972932
821	1606.801922
822	1606.670998
823	1606.612471
824	1606.538898
825	1606.374669
826	1606.23782
827	1606.088589
828	1605.94589
829	1605.859226
830	1605.780122
831	1605.696069
832	1605.605648
833	1605.484041
834	1605.260185
835	1605.13544
836	1604.988027
837	1604.892219
838	1604.660071
839	1604.599261
840	1604.455807
841	1604.311146
842	1604.084814
843	1603.978054
844	1603.917456
845	1603.78415
846	1603.651554
847	1603.441993
848	1603.337889
849	1603.199224
850	1603.06812
851	1602.905048
852	1602.739892
853	1602.47472
854	1602.346402
855	1602.014761
856	1601.889216
857	1601.77397
858	1601.608219
859	1601.520421
860	1601.4046
861	1601.321647
862	1601.088283
863	1601.021051
864	1600.954405
865	1600.694835
866	1600.557034
867	1600.41766
868	1600.292556
869	1600.1659
870	1600.065714
871	1599.945268
872	1599.875217
873	1599.699347
874	1599.56592
875	1599.44928
876	1599.293166
877	1599.077618
878	1598.725258
879	1598.631944
880	1598.526635
881	1598.48212
882	1598.413915
883	1598.235352
884	1598.043537
885	1597.925872
886	1597.767998
887	1597.603858
888	1597.516931
889	1597.372012
890	1597.156272
891	1597.030315
892	1596.836466
893	1596.598633
894	1596.419984
895	1596.31133
896	1596.138679
897	1595.953808
898	1595.852465
899	1595.699535
900	1595.573395
901	1595.421145
902	1595.23567
903	1595.142336
904	1594.999439
905	1594.777131
906	1594.712977
907	1594.63005
908	1594.519386
909	1594.43713
910	1594.250221
911	1594.182151
912	1594.078271
913	1593.960267
914	1593.708644
915	1593.603804
916	1593.538226
917	1593.320605
918	1593.151881
919	1593.05401
920	1592.949675
921	1592.780294
922	1592.649412
923	1592.508769
924	1592.444104
925	1592.310408
926	1592.118741
927	1592.005863
928	1591.955917
929	1591.780105
930	1591.591058
931	1591.432366
932	1591.294863
933	1591.05959
934	1590.856372
935	1590.705563
936	1590.56594
937	1590.391286
938	1590.31533
939	1590.103633
940	1590.003029
941	1589.90272
942	1589.727504
943	1589.557514
944	1589.428175
945	1589.362693
946	1589.156075
947	1589.025938
948	1588.872461
949	1588.792787
950	1588.668905
951	1588.446773
952	1588.249918
953	1588.164465
954	1587.914979
955	1587.740733
956	1587.56109
957	1587.417099
958	1587.325238
959	1587.188517
960	1587.002969
961	1586.895725
962	1586.749316
963	1586.657789
964	1586.491167
965	1586.353221
966	1586.28397
967	1586.220173
968	1585.975968
969	1585.755119
970	1585.643151
971	1585.568402
972	1585.445279
973	1585.377814
974	1585.281588
975	1585.15848
976	1585.054856
977	1584.928671
978	1584.715723
979	1584.546327
980	1584.476578
981	1584.390628
982	1584.287433
983	1584.150229
984	1584.095572
985	1584.000355
986	1583.877772
987	1583.807112
988	1583.646227
989	1583.598817
990	1583.47266
991	1583.336879
992	1583.106539
993	1583.01941
994	1582.884332
995	1582.835655
996	1582.780557
997	1582.705944
998	1582.607143
999	1582.558468
